    4096 ,      8 ,      46.48
    4096 ,     32 ,      40.13
    4096 ,     64 ,      40.06
    4096 ,    128 ,      59.44
    4096 ,    256 ,      34.28
   16384 ,      8 ,     175.29
   16384 ,     32 ,     149.80
   16384 ,     64 ,     173.06
   16384 ,    128 ,     126.70
   16384 ,    256 ,     163.64
   65536 ,      8 ,     153.72
   65536 ,     32 ,     198.90
   65536 ,     64 ,     159.36
   65536 ,    128 ,     127.03
   65536 ,    256 ,     175.33
  262144 ,      8 ,     329.40
  262144 ,     32 ,     403.48
  262144 ,     64 ,     423.80
  262144 ,    128 ,     530.52
  262144 ,    256 ,     476.88
 1048576 ,      8 ,     976.08
 1048576 ,     32 ,    1277.72
 1048576 ,     64 ,    1526.20
 1048576 ,    128 ,    1368.12
 1048576 ,    256 ,    1275.74
 4194304 ,      8 ,    1891.40
 4194304 ,     32 ,    3199.95
 4194304 ,     64 ,    4236.02
 4194304 ,    128 ,    3447.88
 4194304 ,    256 ,    3389.76
