[93mWARNING: Reward weightings do not sum up to 1, renormalizing.[0m
Episode length = 247, Average reward is 0.5064645152506815.
Episode length = 208, Average reward is 0.5065908527118813.
Episode length = 175, Average reward is 0.5067979679600855.
Episode length = 270, Average reward is 0.5072569200663051.
Episode length = 216, Average reward is 0.5070926771867851.
Episode length = 217, Average reward is 0.5076125709536206.
Episode length = 246, Average reward is 0.5072065360367101.
Episode length = 220, Average reward is 0.5072085494924851.
Episode length = 193, Average reward is 0.5072751919096746.
Episode length = 225, Average reward is 0.5070969757794196.
Episode length = 234, Average reward is 0.5074390280467443.
Episode length = 288, Average reward is 0.5078324690306947.
Episode length = 202, Average reward is 0.5080460439858077.
Episode length = 218, Average reward is 0.5082391103893709.
Episode length = 186, Average reward is 0.5081864742337866.
Episode length = 216, Average reward is 0.5083098314918691.
Episode length = 295, Average reward is 0.50814788921549.
Episode length = 200, Average reward is 0.5080052300917579.
Episode length = 198, Average reward is 0.508203939317469.
Episode length = 223, Average reward is 0.5076678610571469.
Episode length = 210, Average reward is 0.5080021300064729.
Episode length = 171, Average reward is 0.5079855352700177.
Episode length = 207, Average reward is 0.5081608320422913.
Episode length = 246, Average reward is 0.5080181272694497.
Episode length = 211, Average reward is 0.5080863123408292.
Episode length = 211, Average reward is 0.5082732668509581.
Episode length = 188, Average reward is 0.5079551750176081.
Episode length = 202, Average reward is 0.5081119458439738.
Episode length = 232, Average reward is 0.50838661869096.
Episode length = 186, Average reward is 0.5085754594271874.
Episode length = 240, Average reward is 0.5088706067098473.
Episode length = 248, Average reward is 0.5087867063529914.
Episode length = 181, Average reward is 0.5089303589440684.
Episode length = 204, Average reward is 0.5088506789643735.
Episode length = 217, Average reward is 0.5089369513534737.
Episode length = 201, Average reward is 0.508996057452333.
Episode length = 219, Average reward is 0.5088563436897282.
Episode length = 194, Average reward is 0.509061311162795.
Episode length = 215, Average reward is 0.5087364748987884.
Episode length = 197, Average reward is 0.5089623512752054.
Episode length = 205, Average reward is 0.5090738756432454.
Episode length = 209, Average reward is 0.5090762431438718.
Episode length = 196, Average reward is 0.5092021349227562.
Episode length = 203, Average reward is 0.5092789976240295.
Episode length = 231, Average reward is 0.509429461021557.
Episode length = 213, Average reward is 0.5090323531613494.
Episode length = 209, Average reward is 0.5090946552924395.
Episode length = 208, Average reward is 0.5091758841760121.
Episode length = 188, Average reward is 0.5092297273570969.
Episode length = 205, Average reward is 0.5091340110632165.
Episode length = 246, Average reward is 0.5091634509989822.
Episode length = 292, Average reward is 0.5094246053455864.
Episode length = 209, Average reward is 0.5094213663066397.
Episode length = 188, Average reward is 0.5094686405821298.
Episode length = 235, Average reward is 0.509427592544999.
Episode length = 199, Average reward is 0.5094764197856826.
Episode length = 208, Average reward is 0.5096495144773678.
Episode length = 205, Average reward is 0.5094410477040868.
Episode length = 267, Average reward is 0.5097194895809235.
Episode length = 200, Average reward is 0.5098260194581475.
Episode length = 214, Average reward is 0.5098664877537555.
Episode length = 205, Average reward is 0.5098696397428407.
Episode length = 214, Average reward is 0.509601132111042.
Episode length = 246, Average reward is 0.5097436749607654.
Episode length = 255, Average reward is 0.5098795818716279.
Episode length = 218, Average reward is 0.5100616323401889.
Episode length = 213, Average reward is 0.5100322995577976.
Episode length = 229, Average reward is 0.5101006335972701.
Episode length = 234, Average reward is 0.5099902521636284.
Episode length = 225, Average reward is 0.5101650588728185.
Episode length = 233, Average reward is 0.510031359104476.
Episode length = 179, Average reward is 0.5100833149710933.
Episode length = 201, Average reward is 0.5098580723757153.
Episode length = 252, Average reward is 0.510032772972457.
Episode length = 200, Average reward is 0.5098408701310777.
Episode length = 203, Average reward is 0.509922777295048.
Episode length = 223, Average reward is 0.5100403808234949.
Episode length = 233, Average reward is 0.509981581157637.
Episode length = 220, Average reward is 0.5099660489532168.
Episode length = 220, Average reward is 0.5100911891117302.
Episode length = 207, Average reward is 0.509715556395684.
Episode length = 235, Average reward is 0.5097132311009467.
Episode length = 251, Average reward is 0.509656339447166.
Episode length = 252, Average reward is 0.5094851548787783.
Episode length = 260, Average reward is 0.5095763198761089.
Episode length = 238, Average reward is 0.5094666470741999.
Episode length = 212, Average reward is 0.5094789860862425.
