Step,Optimizer/Actor Loss,Optimizer/Critic Loss,Optimizer/KL,Optimizer/Mirror Loss,Test/Episode Length,Test/Return,Time/Ideal Sample Rate,Time/Optimize Time,Time/Overhead Loss,Time/Sample Rate,Time/Sample Time,Time/Timesteps per Iteration,Time/Timesteps per Second (FULL),Time/Total Timesteps,Train/Episode Length,Train/Return
0,-0.028370950371026993,52.21047592163086,0.0018210000125691295,0.04282275587320328,,,0.10971613973379135,0.6325995922088623,0.8766942024230957,0.10553194582462311,22.988300323486328,2426.0,101.0,2426.0,35.159420013427734,20.434520721435547
1,-0.031017567962408066,27.897581100463867,0.0015442182775586843,0.0414765328168869,,,0.11455283313989639,0.6342155933380127,0.5074670314788818,0.11185695976018906,21.56325340270996,2412.0,108.0,4838.0,35.47058868408203,20.66537094116211
2,-0.030606374144554138,13.752236366271973,0.0019474794389680028,0.04165419936180115,39.11320877075195,26.049278259277344,0.11160256713628769,0.638169527053833,17.671064376831055,0.06157104671001434,39.417877197265625,2427.0,60.0,7265.0,31.9342098236084,18.532564163208008
3,-0.034647684544324875,30.10773468017578,0.001431874348782003,0.03723594918847084,,,0.11833178997039795,0.6221802234649658,-0.26514238119125366,0.1198900043964386,20.13512420654297,2414.0,116.0,9679.0,40.915252685546875,23.193798065185547
4,-0.03317464888095856,21.467561721801758,0.0015617660246789455,0.037548698484897614,42.377357482910156,28.2219181060791,0.11951737105846405,0.6418061256408691,18.118267059326172,0.06287844479084015,38.23249816894531,2404.0,62.0,12083.0,40.06666564941406,22.822246551513672
5,-0.030856214463710785,23.036598205566406,0.0013743378221988678,0.035642948001623154,,,0.11978752911090851,0.6321518421173096,0.3535233736038208,0.11771223694086075,20.40569496154785,2402.0,114.0,14485.0,40.71186447143555,23.70008659362793
6,-0.032606661319732666,23.11654281616211,0.0013428940437734127,0.035625558346509933,40.924530029296875,27.767004013061523,0.120744489133358,0.6489858627319336,17.920787811279297,0.06407986581325531,38.18672180175781,2447.0,62.0,16932.0,41.47457504272461,23.228710174560547
7,-0.03480067849159241,26.90713119506836,0.001273531001061201,0.03360551595687866,,,0.1279178261756897,0.6402833461761475,-0.04501916095614433,0.12822282314300537,18.881193161010742,2421.0,123.0,19353.0,51.51063919067383,29.273483276367188
8,-0.03276143595576286,21.325138092041016,0.0013113514287397265,0.03610987961292267,46.73584747314453,31.270771026611328,0.11992838978767395,0.6710021495819092,19.10559844970703,0.061934564262628555,39.50944137573242,2447.0,60.0,21800.0,41.47457504272461,23.875837326049805
9,-0.029769964516162872,28.42815399169922,0.0012998210731893778,0.03375468775629997,,,0.12526820600032806,0.6533565521240234,-0.014899504370987415,0.12536413967609406,19.455324172973633,2439.0,119.0,24239.0,47.82352828979492,27.331083297729492
10,-0.03277350962162018,23.870567321777344,0.0012904776958748698,0.03159661591053009,,,0.12719181180000305,0.6546237468719482,0.5030695199966431,0.12389150261878967,19.38793182373047,2402.0,120.0,26641.0,51.10638427734375,28.906118392944336
11,-0.02989475056529045,25.573699951171875,0.0010785394115373492,0.0316288024187088,,,0.1226896345615387,0.646864652633667,-0.10895776748657227,0.12337198108434677,19.591157913208008,2417.0,118.0,29058.0,46.480770111083984,26.431142807006836
