Step,Optimizer/Actor Loss,Optimizer/Critic Loss,Optimizer/KL,Optimizer/Mirror Loss,Test/Episode Length,Test/Return,Time/Ideal Sample Rate,Time/Optimize Time,Time/Overhead Loss,Time/Sample Rate,Time/Sample Time,Time/Timesteps per Iteration,Time/Timesteps per Second (FULL),Time/Total Timesteps,Train/Episode Length,Train/Return
0,-0.03970120847225189,17.27144432067871,0.0014255858259275556,0.04532115161418915,,,0.06183195486664772,0.3232576847076416,1.5649741888046265,0.057270776480436325,21.215007781982422,1215.0,56.0,1215.0,16.643835067749023,9.815574645996094
1,-0.029178928583860397,12.954328536987305,0.0013360735028982162,0.04229841008782387,,,0.06507561355829239,0.3281998634338379,0.40985220670700073,0.06367325782775879,19.018972396850586,1211.0,62.0,2426.0,18.34848403930664,10.65545654296875
2,-0.033176034688949585,9.225980758666992,0.0012383423745632172,0.039622776210308075,19.433961868286133,13.413865089416504,0.06612607091665268,0.33995652198791504,15.442192077636719,0.03609072417020798,33.997657775878906,1227.0,35.0,3653.0,19.171875,10.960077285766602
3,-0.044757209718227386,8.597928047180176,0.001186235575005412,0.03666842356324196,18.245283126831055,12.610042572021484,0.06537483632564545,0.32341885566711426,14.829529762268066,0.03629472106695175,33.33818054199219,1210.0,36.0,4863.0,18.90625,10.976323127746582
4,-0.03924121707677841,5.530937194824219,0.0012811352498829365,0.03672833740711212,21.264150619506836,14.465858459472656,0.06477703899145126,0.3288092613220215,16.762269973754883,0.03404684737324715,35.33366775512695,1203.0,34.0,6066.0,17.691177368164062,10.242704391479492
5,-0.04032699763774872,8.980350494384766,0.0012725829146802425,0.03173258900642395,,,0.06651929020881653,0.3375203609466553,0.20748484134674072,0.06578705459833145,18.84869384765625,1240.0,62.0,7306.0,20.327869415283203,11.808469772338867
6,-0.0462629571557045,7.017920970916748,0.001207974273711443,0.028355764225125313,20.358489990234375,13.776947021484375,0.0670204907655716,0.31942176818847656,15.891992568969727,0.03560323640704155,33.90141296386719,1207.0,35.0,8513.0,19.467741012573242,11.32600212097168
7,-0.04775935411453247,7.458492279052734,0.0013667435850948095,0.0257019754499197,,,0.06886573135852814,0.32237958908081055,0.3433413505554199,0.06753721088171005,17.797595977783203,1202.0,66.0,9715.0,21.087718963623047,12.318429946899414
8,-0.04748903214931488,12.90320873260498,0.0011831397423520684,0.02369025908410549,22.88679313659668,15.387737274169922,0.07126175612211227,0.31154346466064453,17.006288528442383,0.03554396331310272,33.929813385009766,1206.0,35.0,10921.0,24.1200008392334,14.139229774475098
9,-0.037974145263433456,12.309179306030273,0.000939240911975503,0.02273579314351082,24.188678741455078,16.433942794799805,0.06993070244789124,0.3190317153930664,17.088991165161133,0.03521164134144783,34.420433044433594,1212.0,35.0,12133.0,23.30769157409668,13.899849891662598
