Step,Optimizer/Actor Loss,Optimizer/Critic Loss,Optimizer/KL,Optimizer/Mirror Loss,Test/Episode Length,Test/Return,Time/Ideal Sample Rate,Time/Optimize Time,Time/Overhead Loss,Time/Sample Rate,Time/Sample Time,Time/Timesteps per Iteration,Time/Timesteps per Second (FULL),Time/Total Timesteps,Train/Episode Length,Train/Return
0,-0.06023393198847771,3.408078908920288,0.002927992260083556,0.04159213975071907,,,0.026625972241163254,0.12133145332336426,5.550287246704102,0.019468888640403748,20.64832878112793,402.0,19.0,402.0,6.813559532165527,3.9489378929138184
1,-0.05844852700829506,3.5280520915985107,0.001306429854594171,0.03895610198378563,,,0.02790183387696743,0.11779356002807617,0.5604759454727173,0.026859555393457413,15.003971099853516,403.0,26.0,805.0,7.327272891998291,4.230175018310547
2,-0.05886724591255188,2.8165364265441895,0.000845538335852325,0.03590467944741249,8.811320304870605,5.790855884552002,0.027978427708148956,0.11489200592041016,16.261646270751953,0.013329572044312954,31.058761596679688,414.0,13.0,1219.0,7.666666507720947,4.40969181060791
3,-0.06039969250559807,2.8200621604919434,0.0010319147258996964,0.03775084391236305,8.905660629272461,5.719776630401611,0.029612448066473007,0.11917471885681152,16.012365341186523,0.01355004496872425,29.520198822021484,400.0,13.0,1619.0,8.69565200805664,4.8824310302734375
4,-0.05209049955010414,2.1529879570007324,0.000791016616858542,0.03792572766542435,8.415094375610352,5.521601676940918,0.029999949038028717,0.12781357765197754,16.115169525146484,0.013601585291326046,29.481857299804688,401.0,14.0,2020.0,9.113636016845703,5.0888543128967285
5,-0.047126516699790955,2.7359607219696045,0.0009594142320565879,0.03573012724518776,10.49056625366211,6.810937404632568,0.030227648094296455,0.12172436714172363,18.06507682800293,0.01299890223890543,31.694984436035156,412.0,13.0,2432.0,9.363636016845703,5.442180633544922
6,-0.04243740439414978,2.3500800132751465,0.0008731679990887642,0.033318422734737396,10.792452812194824,7.045886039733887,0.03126825392246246,0.11712956428527832,18.354389190673828,0.012898947112262249,31.242860794067383,403.0,13.0,2835.0,10.074999809265137,5.730759143829346
7,-0.06197541207075119,2.4159116744995117,0.0009249879512935877,0.030606970191001892,11.60377311706543,7.6102614402771,0.033812735229730606,0.11757421493530273,19.07878303527832,0.012981227599084377,30.96779441833496,402.0,13.0,3237.0,12.181818008422852,6.924293041229248
8,-0.04940525442361832,2.0116019248962402,0.0006234036409296095,0.028940441086888313,12.05660343170166,7.978972434997559,0.03272107616066933,0.1429600715637207,19.98552894592285,0.012456932105123997,32.27118682861328,402.0,12.0,3639.0,10.86486530303955,6.2570481300354
9,-0.056432925164699554,2.1507835388183594,0.0007294718525372446,0.030187543481588364,,,0.03181113302707672,0.11755514144897461,0.7696494460105896,0.02997632510960102,13.343864440917969,400.0,30.0,4039.0,10.526315689086914,5.91823148727417
10,-0.06006952002644539,2.0253818035125732,0.0006877763662487268,0.026426352560520172,,,0.03328686207532883,0.11916160583496094,0.7535164952278137,0.0313410647213459,12.890436172485352,404.0,31.0,4443.0,12.242424011230469,6.911423683166504
11,-0.046900637447834015,3.3377766609191895,0.0007778721628710628,0.027287881821393967,,,0.034019291400909424,0.12799072265625,1.207076907157898,0.030935917049646378,13.317852973937988,412.0,30.0,4855.0,12.875,7.3572282791137695
12,-0.04228593409061432,2.4926812648773193,0.0007731083896942437,0.02649904415011406,13.50943374633789,8.875951766967773,0.034372102469205856,0.12027549743652344,21.516054153442383,0.01216257642954588,33.298866271972656,405.0,12.0,5260.0,13.064516067504883,7.329222202301025
13,-0.053976673632860184,2.1080691814422607,0.0007858766475692391,0.027720393612980843,,,0.03369436040520668,0.11745214462280273,0.4692642092704773,0.03242531418800354,12.459402084350586,404.0,32.0,5664.0,12.625,7.201254844665527
14,-0.04507448151707649,1.5433385372161865,0.000514149316586554,0.02549419365823269,,,0.035911764949560165,0.12100887298583984,2.1605637073516846,0.030220506712794304,13.633127212524414,412.0,29.0,6076.0,14.206896781921387,7.888793468475342
15,-0.03767795488238335,2.121581792831421,0.0006593586876988411,0.025701727718114853,15.283019065856934,9.906599044799805,0.034042730927467346,0.11760830879211426,23.365360260009766,0.011466588824987411,35.2327995300293,404.0,11.0,6480.0,12.625,7.233598232269287
16,-0.04653313755989075,1.9883795976638794,0.0007587467553094029,0.02530093677341938,,,0.03450280427932739,0.11715364456176758,1.0875473022460938,0.03159032762050629,12.883689880371094,407.0,31.0,6887.0,13.129032135009766,7.521279335021973
17,-0.04800943657755852,2.33797287940979,0.0005861340323463082,0.023375753313302994,,,0.03443191200494766,0.11799311637878418,1.44572913646698,0.03062962181866169,13.091901779174805,401.0,30.0,7288.0,13.366666793823242,7.624075889587402
18,-0.05093734711408615,1.7648348808288574,0.000739891140256077,0.0210624560713768,,,0.034554462879896164,0.12531375885009766,1.2636274099349976,0.031272098422050476,13.302593231201172,416.0,30.0,7704.0,13.419354438781738,7.576772212982178
19,-0.05362003669142723,1.2074787616729736,0.0007113148458302021,0.020212363451719284,,,0.03585922345519066,0.11926841735839844,1.7313402891159058,0.031092843040823936,13.025506019592285,405.0,30.0,8109.0,14.464285850524902,8.122758865356445
20,-0.03106207400560379,1.9610873460769653,0.000768834026530385,0.019643034785985947,15.39622688293457,9.965614318847656,0.03509189933538437,0.11687564849853516,23.29460334777832,0.011891692876815796,35.23468017578125,419.0,11.0,8528.0,13.516129493713379,7.595875263214111
21,-0.03949781134724617,1.0698127746582031,0.0006581485504284501,0.019018173217773438,,,0.035318419337272644,0.13276457786560059,1.2037429809570312,0.03193287551403046,12.557592391967773,401.0,31.0,8929.0,13.82758617401123,7.595268249511719
22,-0.05840088427066803,1.5007762908935547,0.0007016597664915025,0.018545100465416908,,,0.0347997285425663,0.12004518508911133,1.0401175022125244,0.03197040408849716,12.793082237243652,409.0,31.0,9338.0,13.633333206176758,7.700922966003418
23,-0.06239348649978638,1.1473461389541626,0.0009919552830979228,0.017740167677402496,,,0.03563086315989494,0.1167442798614502,2.459750175476074,0.02926616184413433,13.770169258117676,403.0,29.0,9741.0,13.896552085876465,7.990795612335205
24,-0.042773112654685974,1.528987169265747,0.0006172252469696105,0.016410892829298973,,,0.03596780449151993,0.11839556694030762,1.078463077545166,0.03279540687799454,12.227322578430176,401.0,32.0,10142.0,14.851851463317871,8.460101127624512
25,-0.051236364990472794,1.5304269790649414,0.0006809316691942513,0.016341080889105797,15.339622497558594,9.913848876953125,0.03565535694360733,0.12220454216003418,23.533824920654297,0.011817820370197296,35.20107650756836,416.0,11.0,10558.0,14.857142448425293,8.75559139251709
26,-0.031363435089588165,1.7420532703399658,0.0007354699191637337,0.01668025180697441,15.094339370727539,9.800457000732422,0.03566247224807739,0.11893534660339355,23.166301727294922,0.011789556592702866,34.60689926147461,408.0,12.0,10966.0,15.11111068725586,8.44983196258545
27,-0.045688509941101074,1.420859456062317,0.0005800301441922784,0.017439449205994606,,,0.035462237894535065,0.11837315559387207,2.0957889556884766,0.029905663803219795,13.37539291381836,400.0,30.0,11366.0,14.285714149475098,8.194803237915039
28,-0.04354778304696083,1.8288300037384033,0.0006774995126761496,0.017286289483308792,,,0.03589528799057007,0.12512564659118652,1.3382539749145508,0.032072313129901886,12.565354347229004,403.0,31.0,11769.0,14.925926208496094,8.529043197631836
29,-0.03244044631719589,1.396042823791504,0.0007163640111684799,0.017739728093147278,,,0.035588596016168594,0.13292860984802246,1.8866630792617798,0.030570046976208687,13.379108428955078,409.0,30.0,12178.0,14.103447914123535,7.88030481338501
