Step,Optimizer/Actor Loss,Optimizer/Critic Loss,Optimizer/KL,Optimizer/Mirror Loss,Test/Episode Length,Test/Return,Time/Ideal Sample Rate,Time/Optimize Time,Time/Overhead Loss,Time/Sample Rate,Time/Sample Time,Time/Timesteps per Iteration,Time/Timesteps per Second (FULL),Time/Total Timesteps,Train/Episode Length,Train/Return
0,-0.015519008040428162,86.92825317382812,0.0018807156011462212,0.04132385179400444,,,0.1485690325498581,1.0877041816711426,0.9755866527557373,0.14339999854564667,28.040447235107422,4021.0,137.0,4021.0,52.22077941894531,31.101839065551758
1,-0.018546683713793755,59.58345031738281,0.0014714975841343403,0.03640298172831535,,,0.16204817593097687,1.018043041229248,0.6966575980186462,0.15761208534240723,25.448556900024414,4011.0,151.0,8032.0,66.8499984741211,39.12067413330078
2,-0.014935897663235664,39.17521667480469,0.0017268334049731493,0.035084985196590424,69.41509246826172,48.8028564453125,0.15858177840709686,1.0374290943145752,22.064231872558594,0.08484405279159546,47.45176315307617,4026.0,82.0,12058.0,59.20588302612305,35.32854080200195
3,-0.021458642557263374,38.528663635253906,0.0013083161320537329,0.033005643635988235,,,0.16088606417179108,1.0905890464782715,0.294587641954422,0.15901042520999908,25.268783569335938,4018.0,152.0,16076.0,61.81538391113281,37.164485931396484
4,-0.015327703207731247,24.784767150878906,0.0014611890073865652,0.0306567195802927,,,0.1597137153148651,1.137113332748413,0.6521707773208618,0.15571101009845734,26.022565841674805,4052.0,147.0,20128.0,57.88571548461914,34.94150924682617
5,-0.01778492145240307,21.34455108642578,0.0017229829682037234,0.03228708729147911,,,0.15826982259750366,1.2175395488739014,1.8975597620010376,0.14731338620185852,27.410951614379883,4038.0,140.0,24166.0,57.68571472167969,34.52252960205078
6,-0.02169988676905632,42.499210357666016,0.0014817401533946395,0.031146887689828873,,,0.16140702366828918,1.216325283050537,0.10562469810247421,0.16073091328144073,25.21605682373047,4053.0,151.0,28219.0,63.328125,37.28289031982422
7,-0.021121961995959282,37.42765808105469,0.001389858080074191,0.03067772462964058,,,0.16767436265945435,1.073753833770752,0.15496651828289032,0.16660308837890625,24.255252838134766,4041.0,158.0,32260.0,73.47272491455078,42.526912689208984
8,-0.02393651381134987,36.27069854736328,0.0013816372957080603,0.029899045825004578,69.54717254638672,46.27183151245117,0.16996750235557556,1.0656826496124268,21.547372817993164,0.08888734132051468,45.16953659057617,4015.0,86.0,36275.0,77.21154022216797,44.41253662109375
9,-0.026438571512699127,44.685997009277344,0.0012648575939238071,0.029353920370340347,74.07546997070312,50.59690856933594,0.16593924164772034,1.0710270404815674,21.7346248626709,0.0877639427781105,46.1351203918457,4049.0,85.0,40324.0,74.98148345947266,44.22541427612305
10,-0.0206415057182312,34.35910415649414,0.0012434934033080935,0.028105787932872772,,,0.16699600219726562,1.2416257858276367,0.1618085354566574,0.1658991575241089,24.635448455810547,4087.0,154.0,44411.0,72.98213958740234,43.61167526245117
11,-0.026211006566882133,39.938350677490234,0.001334088621661067,0.02847125381231308,,,0.16448411345481873,1.0664417743682861,0.40095749497413635,0.1618625521659851,25.157146453857422,4072.0,152.0,48483.0,67.86666870117188,40.02299499511719
12,-0.029605476185679436,38.87959671020508,0.0010538487695157528,0.025259608402848244,,,0.1683143675327301,1.0525178909301758,0.08515368402004242,0.1677161157131195,23.957149505615234,4018.0,160.0,52501.0,77.26923370361328,45.83628845214844
13,-0.029160955920815468,36.30604553222656,0.001130674034357071,0.024930795654654503,76.16981506347656,52.87931442260742,0.1674785315990448,1.0724642276763916,22.018627166748047,0.08784601092338562,46.30830764770508,4068.0,84.0,56569.0,75.33333587646484,44.6187744140625
14,-0.02657938376069069,36.5543327331543,0.0012442360166460276,0.022857602685689926,,,0.1687937080860138,1.1047234535217285,0.9492906332015991,0.16240008175373077,25.06156349182129,4070.0,153.0,60639.0,76.79244995117188,45.501522064208984
15,-0.028825797140598297,25.503536224365234,0.0010962119558826089,0.02320202812552452,,,0.17049555480480194,1.2834150791168213,0.14761295914649963,0.1694451868534088,23.96055030822754,4060.0,158.0,64699.0,78.07691955566406,45.42020034790039
16,-0.02640165388584137,34.05293655395508,0.0011069239117205143,0.020949114114046097,,,0.16976894438266754,1.0538694858551025,0.7018382549285889,0.16485941410064697,24.2691650390625,4001.0,158.0,68700.0,78.45098114013672,46.66748046875
17,-0.02638385258615017,33.45319366455078,0.001112492522224784,0.020801981911063194,82.11320495605469,56.121665954589844,0.1677446961402893,1.087228775024414,23.746414184570312,0.08441276848316193,47.80082702636719,4035.0,82.0,72735.0,79.11764526367188,46.28374099731445
18,-0.029032960534095764,26.64423942565918,0.0011997297406196594,0.020948266610503197,,,0.16476169228553772,1.0390641689300537,0.6428899765014648,0.16053999960422516,25.090320587158203,4028.0,153.0,76763.0,70.66666412353516,41.81097412109375
19,-0.027445239946246147,31.19680404663086,0.0011316840536892414,0.0205300971865654,,,0.1732127070426941,1.0206165313720703,0.3962917923927307,0.17031744122505188,23.708669662475586,4038.0,162.0,80801.0,84.125,48.288856506347656
20,-0.031183041632175446,35.79523468017578,0.0011062092380598187,0.019823359325528145,83.84906005859375,56.093360900878906,0.17342029511928558,1.0043559074401855,25.300920486450195,0.0831756591796875,48.619991302490234,4044.0,81.0,84845.0,86.04255676269531,50.84249496459961
21,-0.030225036665797234,28.281057357788086,0.001013157656416297,0.01950913481414318,91.28302001953125,62.66510772705078,0.1758798211812973,1.083958625793457,26.370441436767578,0.08171695470809937,49.25538635253906,4025.0,79.0,88870.0,91.4772720336914,52.292198181152344
22,-0.02964429371058941,20.568973541259766,0.0010493159061297774,0.019363684579730034,89.84906005859375,61.74613952636719,0.1764170229434967,1.1108694076538086,25.940927505493164,0.08391935378313065,49.476070404052734,4152.0,79.0,93022.0,90.26087188720703,52.66946029663086
23,-0.02614392712712288,26.500816345214844,0.0009323626873083413,0.018575672060251236,87.26415252685547,60.816619873046875,0.1746685951948166,1.0653584003448486,25.18895149230957,0.08330882340669632,48.15816116333008,4012.0,81.0,97034.0,89.15555572509766,52.36288833618164
24,-0.026832066476345062,26.912288665771484,0.0009727631113491952,0.01851150020956993,,,0.1769452691078186,1.0857186317443848,0.3547556698322296,0.1742386668920517,23.192325592041016,4041.0,165.0,101075.0,91.84091186523438,54.34889221191406
25,-0.03101014532148838,22.975635528564453,0.0009529704693704844,0.01785523258149624,87.11320495605469,61.08428192138672,0.1789688766002655,1.0952448844909668,25.3719482421875,0.08512595295906067,48.387123107910156,4119.0,81.0,105194.0,93.61363983154297,54.124290466308594
26,-0.0334966816008091,30.130781173706055,0.0010416990844532847,0.018257897347211838,,,0.17433616518974304,1.1193628311157227,0.9172653555870056,0.16771090030670166,24.13677406311035,4048.0,158.0,109242.0,84.33333587646484,49.208187103271484
27,-0.03108023665845394,19.28549575805664,0.000966037972830236,0.018653053790330887,,,0.1757897585630417,1.0758793354034424,1.4471001625061035,0.16533027589321136,24.321014404296875,4021.0,157.0,113263.0,87.41304016113281,50.61109924316406
28,-0.02973463013768196,30.224594116210938,0.0009784343419596553,0.018168827518820763,,,0.1776130497455597,1.0579149723052979,0.7431589365005493,0.17193926870822906,23.264026641845703,4000.0,164.0,117263.0,85.10638427734375,50.737239837646484
29,-0.02724636346101761,26.342700958251953,0.0008393498719669878,0.018650393933057785,,,0.17262792587280273,1.0574314594268799,0.19558115303516388,0.1711929887533188,23.529001235961914,4028.0,163.0,121291.0,83.91666412353516,48.925987243652344
30,-0.03189161792397499,20.43775177001953,0.0009807855822145939,0.017883680760860443,,,0.17786896228790283,1.0857467651367188,0.5149357318878174,0.17398418486118317,23.57685661315918,4102.0,162.0,125393.0,91.15555572509766,52.82081604003906
31,-0.033406294882297516,29.547019958496094,0.0009716060594655573,0.01829308457672596,,,0.1760413944721222,1.1124980449676514,0.30248355865478516,0.17374899983406067,23.228910446166992,4036.0,164.0,129429.0,91.7272720336914,53.31022644042969
32,-0.03002322092652321,24.034744262695312,0.000905862427316606,0.017546800896525383,,,0.1791490912437439,1.09177827835083,2.2703919410705566,0.16290859878063202,25.044719696044922,4080.0,153.0,133509.0,97.14286041259766,56.062644958496094
33,-0.03030809946358204,18.90043830871582,0.0009825468296185136,0.01760544441640377,101.81131744384766,68.8131103515625,0.1756240874528885,1.1497862339019775,28.482141494750977,0.07897060364484787,51.75343704223633,4087.0,76.0,137596.0,86.95744323730469,51.07621765136719
