Step,Optimizer/Actor Loss,Optimizer/Critic Loss,Optimizer/KL,Optimizer/Mirror Loss,Test/Episode Length,Test/Return,Time/Ideal Sample Rate,Time/Optimize Time,Time/Overhead Loss,Time/Sample Rate,Time/Sample Time,Time/Timesteps per Iteration,Time/Timesteps per Second (FULL),Time/Total Timesteps,Train/Episode Length,Train/Return
0,-0.04305868595838547,9.239151954650879,0.00171984126791358,0.0455111600458622,,,0.042029593139886856,0.22672224044799805,7.119042873382568,0.030630413442850113,26.24842071533203,804.0,30.0,804.0,11.65217399597168,6.915082931518555
1,-0.043257422745227814,3.848353385925293,0.0009245456312783062,0.04953879863023758,,,0.044888317584991455,0.21598076820373535,0.86231529712677,0.042862530797719955,19.10759735107422,819.0,41.0,1623.0,11.219178199768066,6.243330955505371
2,-0.04856352508068085,5.392876625061035,0.0009674097527749836,0.04335706681013107,12.566038131713867,8.10378646850586,0.046568937599658966,0.2234046459197998,15.075112342834473,0.024832110852003098,32.29689407348633,802.0,25.0,2425.0,12.53125,7.264562129974365
3,-0.03933187201619148,4.121280670166016,0.0009893309324979782,0.03837374597787857,13.0,8.688983917236328,0.0469730906188488,0.21766161918640137,15.205434799194336,0.024874992668628693,32.321617126464844,804.0,25.0,3229.0,13.399999618530273,7.480292320251465
4,-0.04257431998848915,4.084922790527344,0.0017109480686485767,0.03617347031831741,14.50943374633789,9.62080192565918,0.04743363335728645,0.23164653778076172,15.694011688232422,0.02458505891263485,32.58076477050781,801.0,24.0,4030.0,13.350000381469727,7.555909633636475
5,-0.03336772695183754,2.371652841567993,0.001284954254515469,0.03494086489081383,14.301886558532715,9.3882417678833,0.0453360490500927,0.21699166297912598,16.392026901245117,0.023545484989881516,34.10420227050781,803.0,23.0,4833.0,11.985074996948242,6.8881988525390625
6,-0.05659053474664688,4.4097747802734375,0.0013020961778238416,0.03282862901687622,,,0.04728705435991287,0.22272181510925293,0.49100273847579956,0.045956600457429886,17.45124626159668,802.0,45.0,5635.0,13.366666793823242,7.677741050720215
7,-0.037297848612070084,3.810703992843628,0.001122390036471188,0.03352070227265358,14.811320304870605,9.798579216003418,0.04769491031765938,0.21787309646606445,15.962457656860352,0.02446787804365158,32.77766799926758,802.0,24.0,6437.0,14.070175170898438,7.750175952911377
8,-0.04745914414525032,4.929070472717285,0.0009948896476998925,0.030020903795957565,14.716980934143066,9.369194030761719,0.04925611615180969,0.21576189994812012,15.355242729187012,0.025456583127379417,31.779598236083984,809.0,25.0,7246.0,15.557692527770996,8.655157089233398
9,-0.046166665852069855,3.5876059532165527,0.0010712643852457404,0.026298711076378822,15.792452812194824,10.3873291015625,0.04989299550652504,0.22047185897827148,17.146709442138672,0.024156803265213966,33.241153717041016,803.0,24.0,8049.0,15.442307472229004,8.835320472717285
10,-0.042036671191453934,4.079313278198242,0.001134944730438292,0.02454640343785286,17.849056243896484,11.67420482635498,0.04996746405959129,0.21749496459960938,18.566925048828125,0.023443572223186493,34.977603912353516,820.0,23.0,8869.0,14.909090995788574,8.67011833190918
11,-0.0441606342792511,4.124203205108643,0.0010876109590753913,0.024514365941286087,,,0.05107652395963669,0.21407842636108398,0.6408911943435669,0.049087829887866974,16.460290908813477,808.0,48.0,9677.0,16.15999984741211,9.185033798217773
12,-0.03836246207356453,5.4378461837768555,0.0011526227463036776,0.023615045472979546,19.58490562438965,12.857041358947754,0.05189201235771179,0.2169041633605957,19.42102813720703,0.02335824817419052,35.319427490234375,825.0,22.0,10502.0,17.553192138671875,9.826372146606445
13,-0.05723639205098152,4.782172679901123,0.0012107795337215066,0.021188564598560333,19.433961868286133,12.753508567810059,0.054914552718400955,0.21440529823303223,19.385990142822266,0.02362835220992565,34.02691650390625,804.0,23.0,11306.0,20.100000381469727,11.565579414367676
14,-0.05047673359513283,4.349712371826172,0.000831997487694025,0.023250440135598183,19.58490562438965,12.64990520477295,0.05526839569211006,0.21144866943359375,20.320171356201172,0.023042090237140656,34.84926986694336,803.0,23.0,12109.0,20.075000762939453,11.15480899810791
15,-0.05159761756658554,4.300144195556641,0.0008558875415474176,0.022219697013497353,,,0.05473874881863594,0.21564435958862305,0.4836864769458771,0.053010277450084686,15.317785263061523,812.0,51.0,12921.0,20.820512771606445,11.37890338897705
16,-0.04620238021016121,5.051633358001709,0.000952591304667294,0.02026163414120674,,,0.053175296634435654,0.21322274208068848,0.9779221415519714,0.04996743053197861,16.210559844970703,810.0,49.0,13731.0,19.285715103149414,11.037221908569336
17,-0.05808901786804199,5.052725791931152,0.0009216678445227444,0.02140209637582302,,,0.05476027727127075,0.21133708953857422,1.3028831481933594,0.05029696971178055,15.985058784484863,804.0,49.0,14535.0,20.100000381469727,11.333379745483398
18,-0.04551815986633301,4.552215576171875,0.0011015611235052347,0.01871362514793873,,,0.05736334249377251,0.21170854568481445,1.0380160808563232,0.0534532405436039,15.228262901306152,814.0,52.0,15349.0,23.257143020629883,12.58461856842041
