[93mWARNING: Reward weightings do not sum up to 1, renormalizing.[0m
Episode length = 300, Average reward is 0.6623203924551393.
Episode length = 300, Average reward is 0.6852783039190173.
Episode length = 300, Average reward is 0.72713022049653.
Episode length = 300, Average reward is 0.7240645204295714.
Episode length = 300, Average reward is 0.7076195840021318.
Episode length = 300, Average reward is 0.7097539857364965.
Episode length = 300, Average reward is 0.713522000434101.
Episode length = 300, Average reward is 0.7145069270191658.
Episode length = 300, Average reward is 0.7182102348279774.
Episode length = 300, Average reward is 0.7122348992349921.
Episode length = 300, Average reward is 0.7174884146343707.
Episode length = 300, Average reward is 0.7159382746172573.
Episode length = 300, Average reward is 0.7175368017001207.
Episode length = 300, Average reward is 0.7187513213366654.
Episode length = 300, Average reward is 0.7159286730314716.
Episode length = 300, Average reward is 0.7189792603523745.
Episode length = 300, Average reward is 0.7220362469415507.
Episode length = 300, Average reward is 0.7180401994393655.
Episode length = 300, Average reward is 0.7212467339965254.
Episode length = 300, Average reward is 0.7202154693120383.
Episode length = 300, Average reward is 0.7124324771990393.
Episode length = 300, Average reward is 0.7171502897719648.
Episode length = 300, Average reward is 0.719035767769538.
Episode length = 300, Average reward is 0.7171023671536016.
Episode length = 300, Average reward is 0.7192856125226709.
Episode length = 300, Average reward is 0.7207556250947892.
Episode length = 300, Average reward is 0.7226608439858729.
Episode length = 300, Average reward is 0.725950779082019.
Episode length = 300, Average reward is 0.7253783572429459.
Episode length = 300, Average reward is 0.7236081245612624.
Episode length = 300, Average reward is 0.7265797955202803.
Episode length = 300, Average reward is 0.7288611297265979.
Episode length = 300, Average reward is 0.7265545108849963.
Episode length = 300, Average reward is 0.7285229601452495.
Episode length = 300, Average reward is 0.7270802343457277.
Episode length = 300, Average reward is 0.7250322063223212.
Episode length = 300, Average reward is 0.7268264113136848.
Episode length = 300, Average reward is 0.7250855380533088.
Episode length = 300, Average reward is 0.7253474363327879.
Episode length = 300, Average reward is 0.722964012556344.
Episode length = 300, Average reward is 0.7223803695640707.
Episode length = 300, Average reward is 0.721795460158621.
Episode length = 300, Average reward is 0.7197385938995973.
Episode length = 300, Average reward is 0.7219502316397379.
Episode length = 300, Average reward is 0.7216170318316233.
Episode length = 300, Average reward is 0.7233128202351249.
Episode length = 300, Average reward is 0.7240612193006514.
Episode length = 300, Average reward is 0.7254860277060962.
Episode length = 300, Average reward is 0.7263371876315164.
Episode length = 300, Average reward is 0.7252905912310931.
Episode length = 300, Average reward is 0.7249987490669029.
Episode length = 300, Average reward is 0.726744511460674.
Episode length = 300, Average reward is 0.7235018228910199.
Episode length = 300, Average reward is 0.7247907950640192.
Episode length = 300, Average reward is 0.7254919454007646.
Episode length = 300, Average reward is 0.7241719025868673.
Episode length = 300, Average reward is 0.7239760743658877.
Episode length = 300, Average reward is 0.7251810655842.
Episode length = 300, Average reward is 0.726292751927517.
Episode length = 300, Average reward is 0.7247656628721513.
Episode length = 300, Average reward is 0.7233092120619243.
Episode length = 300, Average reward is 0.7245649580324651.
Episode length = 300, Average reward is 0.722792344055417.
Episode length = 300, Average reward is 0.7241145022760388.
Episode length = 300, Average reward is 0.7250420807996392.
Episode length = 300, Average reward is 0.7250548560285742.
Episode length = 300, Average reward is 0.7257255212074338.
Episode length = 300, Average reward is 0.7267119884677541.
Episode length = 300, Average reward is 0.7279649571017947.
Episode length = 300, Average reward is 0.7281753631801932.
Episode length = 300, Average reward is 0.7288265754125437.
Episode length = 300, Average reward is 0.7290316217161225.
Episode length = 300, Average reward is 0.7287265408140721.
Episode length = 300, Average reward is 0.7263427901474527.
Episode length = 300, Average reward is 0.7270247613510795.
Episode length = 300, Average reward is 0.7262314789319553.
Episode length = 300, Average reward is 0.7254996965164255.
Episode length = 300, Average reward is 0.7265334072644078.
Episode length = 300, Average reward is 0.7264416324023051.
Episode length = 300, Average reward is 0.7267047131221711.
Episode length = 300, Average reward is 0.7253823510623283.
Episode length = 300, Average reward is 0.7250521237473657.
Episode length = 300, Average reward is 0.7253403274635867.
Episode length = 300, Average reward is 0.7254918554080765.
Episode length = 300, Average reward is 0.7236761897407716.
Episode length = 300, Average reward is 0.7223898993064284.
Episode length = 300, Average reward is 0.7226607660861779.
Episode length = 300, Average reward is 0.7221909580067751.
Episode length = 300, Average reward is 0.7209402460311821.
Episode length = 300, Average reward is 0.719902363890145.
Episode length = 300, Average reward is 0.7208160691258433.
Episode length = 300, Average reward is 0.7217853196898218.
Episode length = 300, Average reward is 0.7220926654548652.
Episode length = 300, Average reward is 0.7210436612700007.
Episode length = 300, Average reward is 0.7215983655819808.
Episode length = 300, Average reward is 0.7216294557983518.
Episode length = 300, Average reward is 0.7213480189776558.
Episode length = 300, Average reward is 0.7216695631443464.
Episode length = 300, Average reward is 0.7224353161699694.
Episode length = 300, Average reward is 0.7220504880443331.
Episode length = 300, Average reward is 0.7227359331833384.
Episode length = 300, Average reward is 0.7227698046066637.
Episode length = 300, Average reward is 0.7236881083449773.
Episode length = 300, Average reward is 0.7242595029370612.
Episode length = 300, Average reward is 0.7243798221539867.
Episode length = 300, Average reward is 0.723602539022188.
Episode length = 300, Average reward is 0.7244352188961095.
Episode length = 300, Average reward is 0.723338879914859.
Episode length = 300, Average reward is 0.7230737694209569.
Episode length = 300, Average reward is 0.7230306600136986.
Episode length = 300, Average reward is 0.723112769972659.
Episode length = 300, Average reward is 0.7234685926159213.
Episode length = 300, Average reward is 0.7239892327338759.
Episode length = 300, Average reward is 0.7241379163757933.
Episode length = 300, Average reward is 0.7240929266909946.
Episode length = 300, Average reward is 0.7236129787114924.
Episode length = 300, Average reward is 0.7238098389522488.
Episode length = 300, Average reward is 0.7242811914817998.
Episode length = 300, Average reward is 0.7239117024724101.
Episode length = 300, Average reward is 0.7239512777010552.
Episode length = 300, Average reward is 0.724388905305892.
Episode length = 300, Average reward is 0.7239001610520205.
Episode length = 300, Average reward is 0.723910976769989.
Episode length = 300, Average reward is 0.7238718769314655.
Episode length = 300, Average reward is 0.7229108385492901.
Episode length = 300, Average reward is 0.722831145685504.
Episode length = 300, Average reward is 0.7220702010745842.
Episode length = 300, Average reward is 0.721936623221035.
Episode length = 300, Average reward is 0.7224472250704478.
Episode length = 300, Average reward is 0.721936133610359.
Episode length = 300, Average reward is 0.7220496447277147.
Episode length = 300, Average reward is 0.7223614822638812.
Episode length = 300, Average reward is 0.7220658212237799.
Episode length = 300, Average reward is 0.7227553467690879.
Episode length = 300, Average reward is 0.7232286306220754.
Episode length = 300, Average reward is 0.7239252243860506.
Episode length = 300, Average reward is 0.7235179118898213.
Episode length = 300, Average reward is 0.7232860080781327.
Episode length = 300, Average reward is 0.722796602375057.
Episode length = 300, Average reward is 0.7226329014884726.
Episode length = 300, Average reward is 0.7226621380451848.
Episode length = 300, Average reward is 0.723312412223229.
Episode length = 300, Average reward is 0.7230690155571805.
Episode length = 300, Average reward is 0.7231929076056464.
Episode length = 300, Average reward is 0.7231162924914717.
Episode length = 300, Average reward is 0.7223925700171988.
Episode length = 300, Average reward is 0.7224010978938319.
Episode length = 300, Average reward is 0.7225591750232583.
Episode length = 300, Average reward is 0.7223427952904902.
Episode length = 300, Average reward is 0.7216438956494855.
Episode length = 300, Average reward is 0.7217395270934714.
Episode length = 300, Average reward is 0.7212525111107251.
Episode length = 300, Average reward is 0.7202827792629068.
Episode length = 300, Average reward is 0.7203620935038764.
Episode length = 300, Average reward is 0.7198052049278534.
Episode length = 300, Average reward is 0.7197201989213923.
Episode length = 300, Average reward is 0.7194275326974726.
Episode length = 300, Average reward is 0.7194288455565411.
Episode length = 300, Average reward is 0.7191533578743415.
Episode length = 300, Average reward is 0.7194080715672547.
Episode length = 300, Average reward is 0.7196215245942384.
Episode length = 300, Average reward is 0.7197187983654925.
Episode length = 300, Average reward is 0.7203401137833524.
Episode length = 300, Average reward is 0.7202484472671297.
Episode length = 300, Average reward is 0.7202738955720752.
Episode length = 300, Average reward is 0.7208069752105201.
Episode length = 300, Average reward is 0.7204696116370476.
Episode length = 300, Average reward is 0.7201898185042903.
Episode length = 300, Average reward is 0.7200924142351814.
Episode length = 300, Average reward is 0.7200478688959008.
Episode length = 300, Average reward is 0.720141351109725.
Episode length = 300, Average reward is 0.7197069445745954.
Episode length = 300, Average reward is 0.719631119161456.
Episode length = 300, Average reward is 0.7195839321255509.
Episode length = 300, Average reward is 0.7197874990756115.
Episode length = 300, Average reward is 0.7195336649219878.
Episode length = 300, Average reward is 0.7192199983155594.
Episode length = 300, Average reward is 0.7189473971974788.
Episode length = 300, Average reward is 0.718806479718315.
Episode length = 300, Average reward is 0.7186743953790136.
Episode length = 300, Average reward is 0.719206402133282.
Episode length = 300, Average reward is 0.7195557319418499.
Episode length = 300, Average reward is 0.719751641365285.
Episode length = 300, Average reward is 0.7192783025008612.
Episode length = 300, Average reward is 0.7195094383156923.
Episode length = 300, Average reward is 0.7191509989663087.
Episode length = 300, Average reward is 0.7191227399118584.
Episode length = 300, Average reward is 0.7187009816282205.
Episode length = 300, Average reward is 0.7182517292669263.
Episode length = 300, Average reward is 0.7184443870566527.
Episode length = 300, Average reward is 0.7181636907537036.
Episode length = 300, Average reward is 0.7183737060844445.
Episode length = 300, Average reward is 0.7183114580267826.
Episode length = 300, Average reward is 0.7184355174225666.
Episode length = 300, Average reward is 0.7177131932126202.
Episode length = 300, Average reward is 0.7181299323831593.
Episode length = 300, Average reward is 0.7179705847176016.
Episode length = 300, Average reward is 0.7173310792134229.
Episode length = 300, Average reward is 0.7175383013014974.
Episode length = 300, Average reward is 0.7173118276069868.
Episode length = 300, Average reward is 0.7177726162055902.
Episode length = 300, Average reward is 0.7175891281218238.
Episode length = 300, Average reward is 0.717874410691109.
Episode length = 300, Average reward is 0.7181730758220182.
Episode length = 300, Average reward is 0.7178873755164332.
Episode length = 300, Average reward is 0.7179113374995603.
Episode length = 300, Average reward is 0.7182513761782453.
Episode length = 300, Average reward is 0.7185161935669938.
Episode length = 300, Average reward is 0.7188474886425927.
Episode length = 300, Average reward is 0.718419254191026.
Episode length = 300, Average reward is 0.718714162101581.
Episode length = 300, Average reward is 0.7187872290035124.
Episode length = 300, Average reward is 0.7186655804458927.
Episode length = 300, Average reward is 0.7186486761161375.
Episode length = 300, Average reward is 0.7188694696356199.
Episode length = 300, Average reward is 0.7188644382979674.
Episode length = 300, Average reward is 0.7187942730402027.
Episode length = 300, Average reward is 0.7185868909148839.
Episode length = 300, Average reward is 0.7186248616831694.
Episode length = 300, Average reward is 0.7184294212027712.
Episode length = 300, Average reward is 0.7181002423586497.
Episode length = 300, Average reward is 0.7183854620613026.
Episode length = 300, Average reward is 0.7181865041826823.
Episode length = 300, Average reward is 0.7184786837014401.
Episode length = 300, Average reward is 0.7188329270281668.
Episode length = 300, Average reward is 0.7186538895432983.
Episode length = 300, Average reward is 0.718235057809301.
Episode length = 300, Average reward is 0.718514236510975.
Episode length = 300, Average reward is 0.7189640573479931.
Episode length = 300, Average reward is 0.7188129707383153.
Episode length = 300, Average reward is 0.7183842143790128.
Episode length = 300, Average reward is 0.7184498237731208.
Episode length = 300, Average reward is 0.7186652916789149.
Episode length = 300, Average reward is 0.7186870422749655.
Episode length = 300, Average reward is 0.7190313503165541.
Episode length = 300, Average reward is 0.7194303285317641.
Episode length = 300, Average reward is 0.7191429740581213.
Episode length = 300, Average reward is 0.7192063334437526.
Episode length = 300, Average reward is 0.71959979598739.
Episode length = 300, Average reward is 0.7193602258761261.
Episode length = 300, Average reward is 0.7192394064885961.
Episode length = 300, Average reward is 0.719597626775528.
Episode length = 300, Average reward is 0.7197539488026425.
